meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID41224	NA	OID41224	O00591	GABRP	NA	NA	NA
OID41225	NA	OID41225	O95257	GADD45G	NA	NA	NA
OID41226	NA	OID41226	O76087	GAGE7	NA	NA	NA
OID41227	NA	OID41227	Q01415	GALK2	NA	NA	NA
OID41228	NA	OID41228	P17677	GAP43	NA	NA	NA
OID41229	NA	OID41229	Q75VX8	GAREM2	NA	NA	NA
OID41230	NA	OID41230	Q96KD3	GARIN1B	NA	NA	NA
OID41231	NA	OID41231	Q8N9W8	GARIN2	NA	NA	NA
OID41232	NA	OID41232	Q8N5Q1	GARIN5B	NA	NA	NA
OID41233	NA	OID41233	O15063	GARRE1	NA	NA	NA
OID41234	NA	OID41234	P54826	GAS1	NA	NA	NA
OID41235	NA	OID41235	Q86XJ1	GAS2L3	NA	NA	NA
OID41236	NA	OID41236	O60861	GAS7	NA	NA	NA
OID41237	NA	OID41237	O43716	GATC	NA	NA	NA
OID41238	NA	OID41238	Q9H227	GBA3	NA	NA	NA
OID41239	NA	OID41239	Q9H0R5	GBP3	NA	NA	NA
OID41240	NA	OID41240	O75600	GCAT	NA	NA	NA
OID41241	NA	OID41241	P35557	GCK	NA	NA	NA
OID41242	NA	OID41242	Q9P109	GCNT4	NA	NA	NA
OID41243	NA	OID41243	Q8N6F7	GCSAM	NA	NA	NA
OID41244	NA	OID41244	Q9NXN4	GDAP2	NA	NA	NA
OID41245	NA	OID41245	Q969S9	GFM2	NA	NA	NA
OID41246	NA	OID41246	O94808	GFPT2	NA	NA	NA
OID41247	NA	OID41247	O75420	GIGYF1	NA	NA	NA
OID41248	NA	OID41248	Q9UG22	GIMAP2	NA	NA	NA
OID41249	NA	OID41249	Q6P9H5	GIMAP6	NA	NA	NA
OID41250	NA	OID41250	Q9BRT9	GINS4	NA	NA	NA
OID41251	NA	OID41251	Q9NVN8	GNL3L	NA	NA	NA
OID41252	NA	OID41252	Q08379	GOLGA2	NA	NA	NA
OID41253	NA	OID41253	Q9HBQ8	GOLGA2P5	NA	NA	NA
OID41254	NA	OID41254	Q13439	GOLGA4	NA	NA	NA
OID41255	NA	OID41255	A8MQT2	GOLGA8B	NA	NA	NA
OID41256	NA	OID41256	O95872	GPANK1	NA	NA	NA
OID41257	NA	OID41257	Q8N954	GPATCH11	NA	NA	NA
OID41258	NA	OID41258	Q5T3I0	GPATCH4	NA	NA	NA
OID41259	NA	OID41259	Q9UKJ3	GPATCH8	NA	NA	NA
OID41260	NA	OID41260	Q8N158	GPC2	NA	NA	NA
OID41261	NA	OID41261	Q5JY77	GPRASP1	NA	NA	NA
OID41262	NA	OID41262	Q96D09	GPRASP2	NA	NA	NA
OID41263	NA	OID41263	O60269	GPRIN2	NA	NA	NA
OID41264	NA	OID41264	Q6ZVF9	GPRIN3	NA	NA	NA
OID41265	NA	OID41265	Q96CP6	GRAMD1A	NA	NA	NA
OID41266	NA	OID41266	Q16478	GRIK5	NA	NA	NA
OID41267	NA	OID41267	P35626	GRK3	NA	NA	NA
OID41268	NA	OID41268	Q96QA5	GSDMA	NA	NA	NA
OID41269	NA	OID41269	Q9NRJ2	GSN-AS1	NA	NA	NA
OID41270	NA	OID41270	P15170	GSPT1	NA	NA	NA
OID41271	NA	OID41271	Q86UP8	GTF2IRD2	NA	NA	NA
OID41272	NA	OID41272	Q8WUA4	GTF3C2	NA	NA	NA
OID41273	NA	OID41273	P43080	GUCA1A	NA	NA	NA
OID41274	NA	OID41274	O95843	GUCA1C	NA	NA	NA
OID41275	NA	OID41275	Q8N442	GUF1	NA	NA	NA
OID41276	NA	OID41276	Q3ZCU0	GVQW3	NA	NA	NA
OID41277	NA	OID41277	P22492	H1-6	NA	NA	NA
OID41278	NA	OID41278	O96004	HAND1	NA	NA	NA
OID41279	NA	OID41279	Q7Z4H7	HAUS6	NA	NA	NA
OID41280	NA	OID41280	P69892	HBG2	NA	NA	NA
OID41281	NA	OID41281	Q9UBN7	HDAC6	NA	NA	NA
OID41282	NA	OID41282	Q8N4P3	HDDC3	NA	NA	NA
OID41283	NA	OID41283	Q7Z353	HDX	NA	NA	NA
OID41284	NA	OID41284	Q86WZ0	HEATR4	NA	NA	NA
OID41285	NA	OID41285	Q9UBI9	HECA	NA	NA	NA
OID41286	NA	OID41286	Q5U5R9	HECTD2	NA	NA	NA
OID41287	NA	OID41287	Q9BYK8	HELZ2	NA	NA	NA
OID41288	NA	OID41288	O95714	HERC2	NA	NA	NA
OID41289	NA	OID41289	P63121	HERVK-113_VP113	NA	NA	NA
OID41290	NA	OID41290	Q9BYE0	HES7	NA	NA	NA
OID41291	NA	OID41291	Q9UBP5	HEY2	NA	NA	NA
OID41292	NA	OID41292	Q8IV36	HID1	NA	NA	NA
OID41293	NA	OID41293	Q5T1R4	HIVEP3	NA	NA	NA
OID41294	NA	OID41294	Q16534	HLF	NA	NA	NA
OID41295	NA	OID41295	Q86SG4	HMGN2P46	NA	NA	NA
OID41297	NA	OID41297	Q6PI97	HOATZ	NA	NA	NA
OID41298	NA	OID41298	O43364	HOXA2	NA	NA	NA
OID41299	NA	OID41299	P14651	HOXB3	NA	NA	NA
OID41300	NA	OID41300	P17483	HOXB4	NA	NA	NA
OID41301	NA	OID41301	P13378	HOXD8	NA	NA	NA
OID41302	NA	OID41302	P28356	HOXD9	NA	NA	NA
OID41303	NA	OID41303	P35367	HRH1	NA	NA	NA
OID41304	NA	OID41304	O75031	HSF2BP	NA	NA	NA
OID41305	NA	OID41305	Q96JZ2	HSH2D	NA	NA	NA
OID41306	NA	OID41306	Q58FF6	HSP90AB4P	NA	NA	NA
OID41307	NA	OID41307	Q9Y547	IFT25	NA	NA	NA
OID41308	NA	OID41308	Q96EW2	HSPBAP1	NA	NA	NA
OID41309	NA	OID41309	P28223	HTR2A	NA	NA	NA
OID41310	NA	OID41310	P57058	HUNK	NA	NA	NA
OID41311	NA	OID41311	Q4G0P3	HYDIN	NA	NA	NA
OID41312	NA	OID41312	Q8NDH6	ICA1L	NA	NA	NA
OID41313	NA	OID41313	Q9BYX4	IFIH1	NA	NA	NA
OID41314	NA	OID41314	P01562	IFNA1_IFNA13	NA	NA	NA
OID41315	NA	OID41315	Q12894	IFRD2	NA	NA	NA
OID41316	NA	OID41316	Q9UG01	IFT172	NA	NA	NA
OID41317	NA	OID41317	Q96FT9	IFT43	NA	NA	NA
OID41318	NA	OID41318	Q96LB3	IFT74	NA	NA	NA
OID41319	NA	OID41319	Q8WYA0	IFT81	NA	NA	NA
OID41320	NA	OID41320	Q13099	IFT88	NA	NA	NA
OID41321	NA	OID41321	Q86VG3	IFTAP	NA	NA	NA
OID41322	NA	OID41322	Q6U949	IGF2-AS	NA	NA	NA
OID41323	NA	OID41323	Q8N9C0	IGSF22	NA	NA	NA
OID41324	NA	OID41324	Q8IYA8	IHO1	NA	NA	NA
OID41325	NA	OID41325	Q01113	IL9R	NA	NA	NA
OID41326	NA	OID41326	Q12905	ILF2	NA	NA	NA
OID41327	NA	OID41327	Q9H160	ING2	NA	NA	NA
OID41328	NA	OID41328	Q96EL1	INKA1	NA	NA	NA
OID41329	NA	OID41329	Q9ULG1	INO80	NA	NA	NA
OID41330	NA	OID41330	Q96T92	INSM2	NA	NA	NA
OID41331	NA	OID41331	Q6ZSG2	INSYN2A	NA	NA	NA
OID41332	NA	OID41332	Q9NVM9	INTS13	NA	NA	NA
OID41333	NA	OID41333	Q75QN2	INTS8	NA	NA	NA
OID41334	NA	OID41334	Q92551	IP6K1	NA	NA	NA
OID41335	NA	OID41335	Q8NFU5	IPMK	NA	NA	NA
OID41336	NA	OID41336	Q96DY2	IQCD	NA	NA	NA
OID41337	NA	OID41337	Q6IPM2	IQCE	NA	NA	NA
OID41338	NA	OID41338	Q9H095	IQCG	NA	NA	NA
OID41339	NA	OID41339	B3KU38	IQCJ-SCHIP1	NA	NA	NA
OID41340	NA	OID41340	Q9H0B3	IQCN	NA	NA	NA
OID41341	NA	OID41341	Q6DN90	IQSEC1	NA	NA	NA
OID41342	NA	OID41342	Q5JU85	IQSEC2	NA	NA	NA
OID41343	NA	OID41343	Q7Z5L9	IRF2BP2	NA	NA	NA
OID41344	NA	OID41344	Q9H1B7	IRF2BPL	NA	NA	NA
OID41345	NA	OID41345	Q8WZA9	IRGQ	NA	NA	NA
OID41346	NA	OID41346	Q86U28	ISCA2	NA	NA	NA
OID41347	NA	OID41347	P61371	ISL1	NA	NA	NA
OID41348	NA	OID41348	Q6GPH6	ITPRIPL1	NA	NA	NA
OID41350	NA	OID41350	Q92613	JADE3	NA	NA	NA
OID41351	NA	OID41351	Q96AA8	JAKMIP2	NA	NA	NA
OID41352	NA	OID41352	Q9HDC5	JPH1	NA	NA	NA
OID41353	NA	OID41353	Q14678	KANK1	NA	NA	NA
OID41354	NA	OID41354	Q7Z3B3	KANSL1	NA	NA	NA
OID41355	NA	OID41355	Q9H8E8	KAT14	NA	NA	NA
OID41356	NA	OID41356	Q9BW62	KATNAL1	NA	NA	NA
OID41357	NA	OID41357	Q8WVZ9	KBTBD7	NA	NA	NA
OID41358	NA	OID41358	P22001	KCNA3	NA	NA	NA
OID41359	NA	OID41359	Q9NZV8	KCND2	NA	NA	NA
OID41360	NA	OID41360	P15382	KCNE1	NA	NA	NA
OID41361	NA	OID41361	Q8N5I3	KCNRG	NA	NA	NA
OID41362	NA	OID41362	Q68DU8	KCTD16	NA	NA	NA
OID41363	NA	OID41363	Q17RG1	KCTD19	NA	NA	NA
OID41364	NA	OID41364	Q14681	KCTD2	NA	NA	NA
OID41365	NA	OID41365	Q6ZWB6	KCTD8	NA	NA	NA
OID41366	NA	OID41366	Q8NAX2	KDF1	NA	NA	NA
OID41367	NA	OID41367	Q9BY66	KDM5D	NA	NA	NA
OID41368	NA	OID41368	O75525	KHDRBS3	NA	NA	NA
OID41369	NA	OID41369	Q6ZU52	KIAA0408	NA	NA	NA
OID41370	NA	OID41370	Q9BVV6	KIAA0586	NA	NA	NA
OID41371	NA	OID41371	Q9ULL0	KIAA1210	NA	NA	NA
OID41372	NA	OID41372	Q5JYT7	KIAA1755	NA	NA	NA
OID41373	NA	OID41373	Q9NS87	KIF15	NA	NA	NA
OID41374	NA	OID41374	Q8NI77	KIF18A	NA	NA	NA
OID41375	NA	OID41375	Q2TAC6	KIF19	NA	NA	NA
OID41376	NA	OID41376	Q12756	KIF1A	NA	NA	NA
OID41377	NA	OID41377	Q5T7B8	KIF24	NA	NA	NA
OID41378	NA	OID41378	Q9ULI4	KIF26A	NA	NA	NA
OID41379	NA	OID41379	Q99661	KIF2C	NA	NA	NA
OID41380	NA	OID41380	O15066	KIF3B	NA	NA	NA
OID41381	NA	OID41381	Q2VIQ3	KIF4B	NA	NA	NA
OID41382	NA	OID41382	O60282	KIF5C	NA	NA	NA
OID41383	NA	OID41383	Q2M1P5	KIF7	NA	NA	NA
OID41384	NA	OID41384	Q9HAQ2	KIF9	NA	NA	NA
OID41388	NA	OID41388	Q8N743	KIR3DL3	NA	NA	NA
OID41389	NA	OID41389	Q9Y4X4	KLF12	NA	NA	NA
OID41390	NA	OID41390	Q8TBB5	KLHDC4	NA	NA	NA
OID41391	NA	OID41391	Q96G42	KLHDC7B	NA	NA	NA
OID41392	NA	OID41392	Q2TBA0	KLHL40	NA	NA	NA
OID41393	NA	OID41393	Q107X0	KLKP1	NA	NA	NA
OID41394	NA	OID41394	Q8IZD2	KMT2E	NA	NA	NA
OID41395	NA	OID41395	Q9NQR1	KMT5A	NA	NA	NA
OID41396	NA	OID41396	Q4FZB7	KMT5B	NA	NA	NA
OID41397	NA	OID41397	Q13601	KRR1	NA	NA	NA
OID41398	NA	OID41398	Q15323	KRT31	NA	NA	NA
OID41399	NA	OID41399	Q8N1N4	KRT78	NA	NA	NA
OID41400	NA	OID41400	Q9BQD3	KXD1	NA	NA	NA
OID41401	NA	OID41401	Q5T7N2	L1TD1	NA	NA	NA
OID41402	NA	OID41402	Q969R5	L3MBTL2	NA	NA	NA
OID41403	NA	OID41403	Q6IAA8	LAMTOR1	NA	NA	NA
OID41404	NA	OID41404	Q659C4	LARP1B	NA	NA	NA
OID41405	NA	OID41405	Q71RC2	LARP4	NA	NA	NA
OID41406	NA	OID41406	Q9Y4W2	LAS1L	NA	NA	NA
OID41407	NA	OID41407	Q6XYB7	LBX2	NA	NA	NA
OID41408	NA	OID41408	O95447	LCA5L	NA	NA	NA
OID41409	NA	OID41409	P06239	LCK	NA	NA	NA
OID41410	NA	OID41410	Q96BZ8	LENG1	NA	NA	NA
OID41411	NA	OID41411	Q96PV6	LENG8	NA	NA	NA
OID41412	NA	OID41412	P48742	LHX1	NA	NA	NA
OID41413	NA	OID41413	Q9UGP4	LIMD1	NA	NA	NA
OID41414	NA	OID41414	A2RU37	LINC02872	NA	NA	NA
OID41415	NA	OID41415	E5RJ46	LINC02906	NA	NA	NA
OID41416	NA	OID41416	Q5VXI9	LIPN	NA	NA	NA
OID41417	NA	OID41417	Q9NZU5	LMCD1	NA	NA	NA
OID41418	NA	OID41418	Q8IXW0	LMNTD2	NA	NA	NA
OID41419	NA	OID41419	Q96KN1	LRATD2	NA	NA	NA
OID41420	NA	OID41420	Q9Y2L9	LRCH1	NA	NA	NA
OID41421	NA	OID41421	Q9BTN0	LRFN3	NA	NA	NA
OID41422	NA	OID41422	Q9BY71	LRRC3	NA	NA	NA
OID41423	NA	OID41423	Q1X8D7	LRRC36	NA	NA	NA
OID41424	NA	OID41424	Q9HBW1	LRRC4	NA	NA	NA
OID41425	NA	OID41425	Q9Y546	LRRC42	NA	NA	NA
OID41426	NA	OID41426	Q8IUZ0	LRRC49	NA	NA	NA
OID41427	NA	OID41427	Q9HCJ2	LRRC4C	NA	NA	NA
OID41428	NA	OID41428	Q8N4P6	LRRC71	NA	NA	NA
OID41429	NA	OID41429	Q9C099	LRRCC1	NA	NA	NA
OID41430	NA	OID41430	Q86VH4	LRRTM4	NA	NA	NA
OID41431	NA	OID41431	Q3MHD2	LSM12	NA	NA	NA
OID41432	NA	OID41432	P29376	LTK	NA	NA	NA
OID41433	NA	OID41433	Q96GA3	LTV1	NA	NA	NA
OID41434	NA	OID41434	Q96LR2	LURAP1	NA	NA	NA
OID41435	NA	OID41435	Q86SG7	LYG2	NA	NA	NA
OID41436	NA	OID41436	Q96S90	LYSMD1	NA	NA	NA
OID41437	NA	OID41437	O60299	LZTS3	NA	NA	NA
OID41438	NA	OID41438	Q15013	MAD2L1BP	NA	NA	NA
OID41439	NA	OID41439	Q9H063	MAF1	NA	NA	NA
OID41440	NA	OID41440	Q9Y5Q3	MAFB	NA	NA	NA
OID41441	NA	OID41441	A6NCF6	MAGEA13P	NA	NA	NA
OID41442	NA	OID41442	P43358	MAGEA4	NA	NA	NA
OID41443	NA	OID41443	P43362	MAGEA9	NA	NA	NA
OID41444	NA	OID41444	Q96M61	MAGEB18	NA	NA	NA
OID41445	NA	OID41445	Q9H6Y5	MAGIX	NA	NA	NA
OID41446	NA	OID41446	Q9P2G4	MAP10	NA	NA	NA
OID41447	NA	OID41447	Q92918	MAP4K1	NA	NA	NA
OID41448	NA	OID41448	Q9H9H5	MAP6D1	NA	NA	NA
OID41449	NA	OID41449	Q96T17	MAP7D2	NA	NA	NA
OID41450	NA	OID41450	Q9UPT6	MAPK8IP3	NA	NA	NA
OID41451	NA	OID41451	Q9BPZ7	MAPKAP1	NA	NA	NA
OID41452	NA	OID41452	Q9H992	MARCHF7	NA	NA	NA
OID41453	NA	OID41453	P27448	MARK3	NA	NA	NA
OID41454	NA	OID41454	Q96L34	MARK4	NA	NA	NA
OID41455	NA	OID41455	Q6P0Q8	MAST2	NA	NA	NA
OID41456	NA	OID41456	O15021	MAST4	NA	NA	NA
OID41457	NA	OID41457	Q9NS73	MBIP	NA	NA	NA
OID41458	NA	OID41458	Q8IVS2	MCAT	NA	NA	NA
OID41459	NA	OID41459	O60318	MCM3AP	NA	NA	NA
OID41460	NA	OID41460	Q96EZ8	MCRS1	NA	NA	NA
OID41461	NA	OID41461	Q71F56	MED13L	NA	NA	NA
OID41462	NA	OID41462	O75586	MED6	NA	NA	NA
OID41463	NA	OID41463	Q06413	MEF2C	NA	NA	NA
OID41464	NA	OID41464	O15553	MEFV	NA	NA	NA
OID41465	NA	OID41465	A2RUB1	MEIOC	NA	NA	NA
OID41466	NA	OID41466	Q96IZ6	METTL2A	NA	NA	NA
OID41467	NA	OID41467	Q8TCB7	METTL6	NA	NA	NA
OID41468	NA	OID41468	Q6ZN04	MEX3B	NA	NA	NA
OID41469	NA	OID41469	Q86XN8	MEX3D	NA	NA	NA
OID41471	NA	OID41471	Q9BY79	MFRP	NA	NA	NA
OID41472	NA	OID41472	Q8IWI9	MGA	NA	NA	NA
OID41473	NA	OID41473	Q5JRA6	MIA3	NA	NA	NA
OID41474	NA	OID41474	Q8TDZ2	MICAL1	NA	NA	NA
OID41475	NA	OID41475	Q7RTP6	MICAL3	NA	NA	NA
OID41476	NA	OID41476	Q504T8	MIDN	NA	NA	NA
OID41477	NA	OID41477	Q9UGB7	MIOX	NA	NA	NA
OID41478	NA	OID41478	Q6P0N0	MIS18BP1	NA	NA	NA
OID41479	NA	OID41479	Q8IVT2	MISP	NA	NA	NA
OID41480	NA	OID41480	Q13434	MKRN4P	NA	NA	NA
OID41481	NA	OID41481	Q16655	MLANA	NA	NA	NA
OID41482	NA	OID41482	Q15773	MLF2	NA	NA	NA
OID41483	NA	OID41483	Q5VWP3	MLIP	NA	NA	NA
OID41484	NA	OID41484	O95396	MOCS3	NA	NA	NA
OID41485	NA	OID41485	Q7Z3U7	MON2	NA	NA	NA
OID41487	NA	OID41487	Q99547	MPHOSPH6	NA	NA	NA
OID41488	NA	OID41488	Q96EL3	MRPL53	NA	NA	NA
OID41489	NA	OID41489	Q92552	MRPS27	NA	NA	NA
OID41490	NA	OID41490	Q96H12	MSANTD3	NA	NA	NA
OID41491	NA	OID41491	Q9HCI7	MSL2	NA	NA	NA
OID41492	NA	OID41492	Q04912	MST1R	NA	NA	NA
OID41493	NA	OID41493	Q13126	MTAP	NA	NA	NA
OID41494	NA	OID41494	Q9Y4B5	MTCL1	NA	NA	NA
OID41495	NA	OID41495	Q49AM1	MTERF2	NA	NA	NA
OID41496	NA	OID41496	Q96E29	MTERF3	NA	NA	NA
OID41497	NA	OID41497	Q14872	MTF1	NA	NA	NA
OID41498	NA	OID41498	Q9H019	MTFR1L	NA	NA	NA
OID41499	NA	OID41499	Q9Y217	MTMR6	NA	NA	NA
OID41500	NA	OID41500	Q9Y216	MTMR7	NA	NA	NA
OID41501	NA	OID41501	Q9P0P8	MTRES1	NA	NA	NA
OID41502	NA	OID41502	Q13203	MYBPH	NA	NA	NA
OID41503	NA	OID41503	P12882	MYH1	NA	NA	NA
OID41504	NA	OID41504	P35580	MYH10	NA	NA	NA
OID41505	NA	OID41505	P12883	MYH7	NA	NA	NA
OID41506	NA	OID41506	Q02045	MYL5	NA	NA	NA
OID41507	NA	OID41507	Q8IUG5	MYO18B	NA	NA	NA
OID41508	NA	OID41508	Q12965	MYO1E	NA	NA	NA
OID41509	NA	OID41509	B0I1T2	MYO1G	NA	NA	NA
OID41510	NA	OID41510	Q8WXR4	MYO3B	NA	NA	NA
OID41511	NA	OID41511	Q9Y4I1	MYO5A	NA	NA	NA
OID41512	NA	OID41512	Q9ULV0	MYO5B	NA	NA	NA
OID41513	NA	OID41513	Q5VVJ2	MYSM1	NA	NA	NA
OID41514	NA	OID41514	B2RBV5	MR1L2	NA	NA	NA
OID41515	NA	OID41515	A8MT66	YU005	NA	NA	NA
OID41516	NA	OID41516	Q6ZSR3	YO027	NA	NA	NA
OID41517	NA	OID41517	Q6ZRN7	YP029	NA	NA	NA
OID41518	NA	OID41518	A8MUA0_A8MX80	YB057_YM017	NA	NA	NA
OID41519	NA	OID41519	Q86UW6	N4BP2	NA	NA	NA
OID41520	NA	OID41520	Q92802	N4BP2L2	NA	NA	NA
OID41521	NA	OID41521	Q9BSU3	NAA11	NA	NA	NA
OID41522	NA	OID41522	Q9H115	NAPB	NA	NA	NA
OID41523	NA	OID41523	Q8IVL1	NAV2	NA	NA	NA
OID41524	NA	OID41524	Q6ZNJ1	NBEAL2	NA	NA	NA
OID41525	NA	OID41525	Q86T75	NBPF11	NA	NA	NA
OID41526	NA	OID41526	Q15003	NCAPH	NA	NA	NA
OID41527	NA	OID41527	A8MVU1_P14598	NCF1C_NCF1	NA	NA	NA
OID41528	NA	OID41528	Q9HCH0	NCKAP5L	NA	NA	NA
OID41529	NA	OID41529	Q15788	NCOA1	NA	NA	NA
OID41530	NA	OID41530	Q8NI08	NCOA7	NA	NA	NA
OID41531	NA	OID41531	O14931	NCR3	NA	NA	NA
OID41532	NA	OID41532	Q9NXR1	NDE1	NA	NA	NA
OID41534	NA	OID41534	O95299	NDUFA10	NA	NA	NA
OID41535	NA	OID41535	Q9NRX3	NDUFA4L2	NA	NA	NA
OID41536	NA	OID41536	Q9Y6M9	NDUFB9	NA	NA	NA
OID41537	NA	OID41537	P51955	NEK2	NA	NA	NA
OID41538	NA	OID41538	P51957	NEK4	NA	NA	NA
OID41539	NA	OID41539	Q8IXH7	NELFCD	NA	NA	NA
OID41540	NA	OID41540	O76050	NEURL1	NA	NA	NA
OID41541	NA	OID41541	A8MQ27	NEURL1B	NA	NA	NA
OID41542	NA	OID41542	Q8NBZ9	NEXN-AS1	NA	NA	NA
OID41543	NA	OID41543	Q8NET5	NFAM1	NA	NA	NA
OID41544	NA	OID41544	Q8NEJ9	NGDN	NA	NA	NA
OID41545	NA	OID41545	Q6T4R5	NHS	NA	NA	NA
OID41546	NA	OID41546	Q5SYE7	NHSL1	NA	NA	NA
OID41547	NA	OID41547	O15226	NKRF	NA	NA	NA
OID41548	NA	OID41548	Q86W24	NLRP14	NA	NA	NA
OID41549	NA	OID41549	Q9NWW6	NMRK1	NA	NA	NA
OID41551	NA	OID41551	Q9Y314	NOSIP	NA	NA	NA
OID41552	NA	OID41552	P51513	NOVA1	NA	NA	NA
OID41553	NA	OID41553	Q9UNW9	NOVA2	NA	NA	NA
OID41554	NA	OID41554	E9PIF3	NPIPA2	NA	NA	NA
OID41555	NA	OID41555	E9PJ23	NPIPB6	NA	NA	NA
OID41556	NA	OID41556	Q14995	NR1D2	NA	NA	NA
OID41557	NA	OID41557	P49116	NR2C2	NA	NA	NA
OID41558	NA	OID41558	Q86VF7	NRAP	NA	NA	NA
OID41559	NA	OID41559	O14511	NRG2	NA	NA	NA
OID41560	NA	OID41560	P56975	NRG3	NA	NA	NA
OID41561	NA	OID41561	P42857	NSG1	NA	NA	NA
OID41562	NA	OID41562	P78549	NTHL1	NA	NA	NA
OID41563	NA	OID41563	Q9BSD7	NTPCR	NA	NA	NA
OID41564	NA	OID41564	P04629	NTRK1	NA	NA	NA
OID41565	NA	OID41565	O95848	NUDT14	NA	NA	NA
OID41566	NA	OID41566	P0C024	NUDT7	NA	NA	NA
OID41567	NA	OID41567	Q7Z417	NUFIP2	NA	NA	NA
OID41568	NA	OID41568	O60356	NUPR1	NA	NA	NA
OID41569	NA	OID41569	Q96CM4	NXNL1	NA	NA	NA
OID41570	NA	OID41570	Q5VST9	OBSCN	NA	NA	NA
OID41571	NA	OID41571	Q96NG3	ODAD4	NA	NA	NA
OID41572	NA	OID41572	O15527	OGG1	NA	NA	NA
OID41573	NA	OID41573	O95897	OLFM2	NA	NA	NA
OID41574	NA	OID41574	Q13438	OS9	NA	NA	NA
OID41575	NA	OID41575	Q9NX31	OSER1	NA	NA	NA
OID41576	NA	OID41576	Q96FW1	OTUB1	NA	NA	NA
OID41577	NA	OID41577	Q01804	OTUD4	NA	NA	NA
OID41578	NA	OID41578	Q12889	OVGP1	NA	NA	NA
OID41579	NA	OID41579	Q92791	P3H4	NA	NA	NA
OID41580	NA	OID41580	P0CB38	PABPC4L	NA	NA	NA
OID41581	NA	OID41581	Q8N7B6	PACRGL	NA	NA	NA
OID41582	NA	OID41582	Q9UKS6	PACSIN3	NA	NA	NA
OID41583	NA	OID41583	Q5JUK9	PAGE3	NA	NA	NA
OID41584	NA	OID41584	Q8TEW8	PARD3B	NA	NA	NA
OID41585	NA	OID41585	Q9BYG5	PARD6B	NA	NA	NA
OID41586	NA	OID41586	O95453	PARN	NA	NA	NA
OID41587	NA	OID41587	Q53GL7	PARP10	NA	NA	NA
OID41588	NA	OID41588	Q8N3A8	PARP8	NA	NA	NA
OID41589	NA	OID41589	Q9NWS1	PARPBP	NA	NA	NA
OID41590	NA	OID41590	Q8NI35	PATJ	NA	NA	NA
OID41592	NA	OID41592	P40424	PBX1	NA	NA	NA
OID41593	NA	OID41593	Q9P2E7	PCDH10	NA	NA	NA
OID41594	NA	OID41594	Q9Y5I3	PCDHA1	NA	NA	NA
OID41596	NA	OID41596	P49585	PCYT1A	NA	NA	NA
OID41597	NA	OID41597	P20941	PDC	NA	NA	NA
OID41598	NA	OID41598	Q16342	PDCD2	NA	NA	NA
OID41599	NA	OID41599	Q13371	PDCL	NA	NA	NA
OID41600	NA	OID41600	P54750	PDE1A	NA	NA	NA
OID41601	NA	OID41601	O00408	PDE2A	NA	NA	NA
OID41602	NA	OID41602	Q5VU43	PDE4DIP	NA	NA	NA
OID41603	NA	OID41603	P35913	PDE6B	NA	NA	NA
OID41604	NA	OID41604	Q6P474	PDXDC2P	NA	NA	NA
OID41605	NA	OID41605	Q76G19	PDZD4	NA	NA	NA
OID41606	NA	OID41606	Q6ZMN7	PDZRN4	NA	NA	NA
OID41607	NA	OID41607	Q9H792	PEAK1	NA	NA	NA
OID41608	NA	OID41608	O95394	PGM3	NA	NA	NA
OID41609	NA	OID41609	Q9C0D0	PHACTR1	NA	NA	NA
OID41610	NA	OID41610	Q8IXK0	PHC2	NA	NA	NA
OID41611	NA	OID41611	Q96QT6	PHF12	NA	NA	NA
OID41612	NA	OID41612	A8MW92	PHF20L1	NA	NA	NA
OID41613	NA	OID41613	Q96EK2	PHF21B	NA	NA	NA
OID41614	NA	OID41614	Q9UPV7	PHF24	NA	NA	NA
OID41615	NA	OID41615	Q9Y5J5	PHLDA3	NA	NA	NA
OID41616	NA	OID41616	O14813	PHOX2A	NA	NA	NA
OID41617	NA	OID41617	Q7Z3Z4	PIWIL4	NA	NA	NA
OID41618	NA	OID41618	Q8NG27	PJA1	NA	NA	NA
OID41619	NA	OID41619	P51178	PLCD1	NA	NA	NA
OID41620	NA	OID41620	Q9BRC7	PLCD4	NA	NA	NA
OID41621	NA	OID41621	P19174	PLCG1	NA	NA	NA
OID41622	NA	OID41622	Q4KWH8	PLCH1	NA	NA	NA
OID41623	NA	OID41623	Q15111	PLCL1	NA	NA	NA
OID41624	NA	OID41624	Q9H4M7	PLEKHA4	NA	NA	NA
OID41625	NA	OID41625	A6NEE1	PLEKHD1	NA	NA	NA
OID41626	NA	OID41626	Q96S99	PLEKHF1	NA	NA	NA
OID41627	NA	OID41627	Q9H7P9	PLEKHG2	NA	NA	NA
OID41628	NA	OID41628	O94827	PLEKHG5	NA	NA	NA
OID41629	NA	OID41629	Q9ULM0	PLEKHH1	NA	NA	NA
OID41630	NA	OID41630	Q8IVE3	PLEKHH2	NA	NA	NA
OID41631	NA	OID41631	Q9NYY3	PLK2	NA	NA	NA
OID41632	NA	OID41632	O60568	PLOD3	NA	NA	NA
OID41633	NA	OID41633	O43660	PLRG1	NA	NA	NA
OID41634	NA	OID41634	P13797	PLS3	NA	NA	NA
OID41635	NA	OID41635	O75051	PLXNA2	NA	NA	NA
OID41636	NA	OID41636	Q86V59	PNMA8A	NA	NA	NA
OID41637	NA	OID41637	Q8TC44	POC1B	NA	NA	NA
