meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID43754_OID31153	OID43754_OID31153	OID43754	Q8TF65	GIPC2	OID31153	Q8TF65	GIPC2
OID44264_OID31154	OID44264_OID31154	OID44264	P53814	SMTN	OID31154	P53814	SMTN
OID44100_OID31155	OID44100_OID31155	OID44100	Q00722	PLCB2	OID31155	Q00722	PLCB2
OID43975_OID31156	OID43975_OID31156	OID43975	Q8N4C8	MINK1	OID31156	Q8N4C8	MINK1
OID43578_OID31157	OID43578_OID31157	OID43578	P40313	CTRL	OID31157	P40313	CTRL
OID41591_OID31158	OID41591_OID31158	OID41591	Q96KB5	PBK	OID31158	Q96KB5	PBK
OID41349_OID31159	OID41349_OID31159	OID41349	Q8IYV9	IZUMO1	OID31159	Q8IYV9	IZUMO1
OID41486_OID31160	OID41486_OID31160	OID41486	Q15014	MORF4L2	OID31160	Q15014	MORF4L2
OID41595_OID31161	OID41595_OID31161	OID41595	P12004	PCNA	OID31161	P12004	PCNA
OID40835_OID31162	OID40835_OID31162	OID40835	P18848	ATF4	OID31162	P18848	ATF4
OID41550_OID31163	OID41550_OID31163	OID41550	Q9NPI5	NMRK2	OID31163	Q9NPI5	NMRK2
OID42936_OID31165	OID42936_OID31165	OID42936	P78395	PRAME	OID31165	P78395	PRAME
OID42489_OID31166	OID42489_OID31166	OID42489	Q99259	GAD1	OID31166	Q99259	GAD1
OID42906_OID31167	OID42906_OID31167	OID42906	Q86SQ0	PHLDB2	OID31167	Q86SQ0	PHLDB2
OID42887_OID31168	OID42887_OID31168	OID42887	Q8N4E4	PDCL2	OID31168	Q8N4E4	PDCL2
OID42593_OID31169	OID42593_OID31169	OID42593	A6NGN9	IGLON5	OID31169	A6NGN9	IGLON5
OID42788_OID31170	OID42788_OID31170	OID42788	Q3MIW9	MUCL3	OID31170	Q3MIW9	MUCL3
OID42343_OID31171	OID42343_OID31171	OID42343	P00167	CYB5A	OID31171	P00167	CYB5A
OID42646_OID31172	OID42646_OID31172	OID42646	Q15652	JMJD1C	OID31172	Q15652	JMJD1C
OID42117_OID31173	OID42117_OID31173	OID42117	Q9H9E1	ANKRA2	OID31173	Q9H9E1	ANKRA2
OID43098_OID31174	OID43098_OID31174	OID43098	Q9GZT3	SLIRP	OID31174	Q9GZT3	SLIRP
OID42567_OID31175	OID42567_OID31175	OID42567	O75330	HMMR	OID31175	O75330	HMMR
OID42428_OID31176	OID42428_OID31176	OID42428	Q14674	ESPL1	OID31176	Q14674	ESPL1
OID42740_OID31177	OID42740_OID31177	OID42740	Q9UPY8	MAPRE3	OID31177	Q9UPY8	MAPRE3
OID42791_OID31178	OID42791_OID31178	OID42791	A7E2Y1	MYH7B	OID31178	A7E2Y1	MYH7B
OID43276_OID31179	OID43276_OID31179	OID43276	Q9H867	VCPKMT	OID31179	Q9H867	VCPKMT
OID42722_OID31180	OID42722_OID31180	OID42722	Q7Z4W2	LYZL2	OID31180	Q7Z4W2	LYZL2
OID43271_OID31181	OID43271_OID31181	OID43271	Q9P2D8	UNC79	OID31181	Q9P2D8	UNC79
OID42300_OID31182	OID42300_OID31182	OID42300	Q14677	CLINT1	OID31182	Q14677	CLINT1
OID43139_OID31183	OID43139_OID31183	OID43139	Q9UJZ1	STOML2	OID31183	Q9UJZ1	STOML2
OID42195_OID31184	OID42195_OID31184	OID42195	Q8WZ55	BSND	OID31184	Q8WZ55	BSND
OID43309_OID31185	OID43309_OID31185	OID43309	Q12836	ZP4	OID31185	Q12836	ZP4
OID42518_OID31187	OID42518_OID31187	OID42518	P48165	GJA8	OID31187	P48165	GJA8
OID42321_OID31188	OID42321_OID31188	OID42321	O43889	CREB3	OID31188	O43889	CREB3
OID42247_OID31189	OID42247_OID31189	OID42247	P30304	CDC25A	OID31189	P30304	CDC25A
OID42136_OID31190	OID42136_OID31190	OID42136	Q13017	ARHGAP5	OID31190	Q13017	ARHGAP5
OID42673_OID31191	OID42673_OID31191	OID42673	P43630	KIR3DL2	OID31191	P43630	KIR3DL2
OID42295_OID31192	OID42295_OID31192	OID42295	Q7Z460	CLASP1	OID31192	Q7Z460	CLASP1
OID42461_OID31193	OID42461_OID31193	OID42461	P31371	FGF9	OID31193	P31371	FGF9
OID42516_OID31194	OID42516_OID31194	OID42516	Q8ND71	GIMAP8	OID31194	Q8ND71	GIMAP8
OID43104_OID31195	OID43104_OID31195	OID43104	Q9UQE7	SMC3	OID31195	Q9UQE7	SMC3
OID43126_OID31197	OID43126_OID31197	OID43126	Q9H741	SPRING1	OID31197	Q9H741	SPRING1
OID43283_OID31198	OID43283_OID31198	OID43283	O00534	VWA5A	OID31198	O00534	VWA5A
OID42492_OID31199	OID42492_OID31199	OID42492	Q6NT46	GAGE2A	OID31199	Q6NT46	GAGE2A
OID42959_OID31200	OID42959_OID31200	OID42959	P17980	PSMC3	OID31200	P17980	PSMC3
OID42889_OID31201	OID42889_OID31201	OID42889	Q14123	PDE1C	OID31201	Q14123	PDE1C
OID42180_OID31202	OID42180_OID31202	OID42180	Q00994	BEX3	OID31202	Q00994	BEX3
OID43093_OID31203	OID43093_OID31203	OID43093	Q8N130	SLC34A3	OID31203	Q8N130	SLC34A3
OID42380_OID31204	OID42380_OID31204	OID42380	P31689	DNAJA1	OID31204	P31689	DNAJA1
OID42738_OID31205	OID42738_OID31205	OID42738	O15264	MAPK13	OID31205	O15264	MAPK13
OID42322_OID31206	OID42322_OID31206	OID42322	Q9NS37	CREBZF	OID31206	Q9NS37	CREBZF
OID43238_OID31207	OID43238_OID31207	OID43238	Q12899	TRIM26	OID31207	Q12899	TRIM26
OID42347_OID31208	OID42347_OID31208	OID42347	O43739	CYTH3	OID31208	O43739	CYTH3
OID42893_OID31209	OID42893_OID31209	OID42893	Q14554	PDIA5	OID31209	Q14554	PDIA5
OID43136_OID31210	OID43136_OID31210	OID43136	O95793	STAU1	OID31210	O95793	STAU1
OID42761_OID31211	OID42761_OID31211	OID42761	Q03111	MLLT1	OID31211	Q03111	MLLT1
OID42900_OID31212	OID42900_OID31212	OID42900	Q9NQP4	PFDN4	OID31212	Q9NQP4	PFDN4
OID42993_OID31213	OID42993_OID31213	OID42993	Q13972	RASGRF1	OID31213	Q13972	RASGRF1
OID42892_OID31214	OID42892_OID31214	OID42892	Q13087	PDIA2	OID31214	Q13087	PDIA2
OID42909_OID31215	OID42909_OID31215	OID42909	Q9GZP4	PITHD1	OID31215	Q9GZP4	PITHD1
OID43134_OID31216	OID43134_OID31216	OID43134	Q8TE77	SSH3	OID31216	Q8TE77	SSH3
OID42769_OID31217	OID42769_OID31217	OID42769	Q8NDC4	MORN4	OID31217	Q8NDC4	MORN4
OID42178_OID31218	OID42178_OID31218	OID42178	Q4VC05	BCL7A	OID31218	Q4VC05	BCL7A
OID42497_OID31219	OID42497_OID31219	OID42497	P23771	GATA3	OID31219	P23771	GATA3
OID43092_OID31220	OID43092_OID31220	OID43092	O00337	SLC28A1	OID31220	O00337	SLC28A1
OID42475_OID31221	OID42475_OID31221	OID42475	P01100	FOS	OID31221	P01100	FOS
OID43074_OID31222	OID43074_OID31222	OID43074	P29353	SHC1	OID31222	P29353	SHC1
