phenotype	condition	pval	beta	std	pval_fdr
LIPID60	CONDITION1	0.3789677719488968	0.052185194293009	0.0590320217775247	0.9975111486145372
LIPID61	CONDITION1	0.9721459558098988	-0.0021533264645976	0.0615041714922089	0.9975111486145372
LIPID62	CONDITION1	0.7998717740913941	-0.0141978408269202	0.0558443404516414	0.9975111486145372
LIPID63	CONDITION1	0.394256971681828	-0.0475280229958539	0.0555303533543962	0.9975111486145372
LIPID64	CONDITION1	0.2963017958391025	-0.0679106572732608	0.0646583380533592	0.9975111486145372
LIPID65	CONDITION1	0.3584353925726121	-0.0556786452465478	0.0603285646709593	0.9975111486145372
LIPID66	CONDITION1	0.7110085010015119	-0.0202861326283344	0.0545858771020794	0.9975111486145372
LIPID67	CONDITION1	0.745766514848732	0.0170672507497405	0.0524836771683327	0.9975111486145372
LIPID68	CONDITION1	0.6923864724780253	-0.0229665028593063	0.0578718347023235	0.9975111486145372
LIPID69	CONDITION1	0.6700558250589319	0.0251583197805386	0.0588598159711548	0.9975111486145372
LIPID70	CONDITION1	0.866426611892908	0.0103613634038865	0.0614316957122871	0.9975111486145372
LIPID71	CONDITION1	0.3056890552668085	-0.0618006190869931	0.0600015649126072	0.9975111486145372
LIPID72	CONDITION1	0.14536790279804	-0.0961465889312058	0.0654767824623658	0.9975111486145372
LIPID73	CONDITION1	0.8257506116022484	-0.0126725389731596	0.0573999132856427	0.9975111486145372
LIPID74	CONDITION1	0.6936703974897037	0.0224153224098052	0.0567326150821981	0.9975111486145372
LIPID75	CONDITION1	0.640915896735814	-0.0295623981569621	0.0631744100925809	0.9975111486145372
LIPID76	CONDITION1	0.9750583348809024	-0.001870150382775	0.0596556823472089	0.9975111486145372
LIPID77	CONDITION1	0.8258275118677305	0.0131768152216495	0.0597108069103157	0.9975111486145372
LIPID78	CONDITION1	0.8897846588816822	0.0088168878845855	0.0634505158681097	0.9975111486145372
LIPID79	CONDITION1	0.0056935769617036	0.1570653364704638	0.0554884975798013	0.28467884808518
LIPID80	CONDITION1	0.7294088635296445	0.0214939614997633	0.0619502539657359	0.9975111486145372
LIPID81	CONDITION1	0.1302417910546423	-0.0879829471362245	0.0576313521036194	0.9975111486145372
